Start Price,End Price,Rate of Change
3731.169921875,3773.860107421875,1.1441501309439746
3791.840087890625,3826.31005859375,0.9090565504913054
3840.27001953125,3830.169921875,-0.26300488259632415
3836.659912109375,3871.739990234375,0.9143390065478376
3878.300048828125,3886.830078125,0.2199424796813349
3892.590087890625,3915.590087890625,0.5908662222500696
3910.489990234375,3911.22998046875,0.018923210038204158
3920.780029296875,3909.8798828125,-0.27800964101344283
3916.39990234375,3916.3798828125,-0.0005111717840157082
3911.64990234375,3934.830078125,0.5925933138178111
3939.610107421875,3932.590087890625,-0.17819071785872687
3918.5,3931.330078125,0.327423200842159
3915.860107421875,3913.969970703125,-0.048268749825039814
3921.159912109375,3906.7099609375,-0.36851216210923915
3885.550048828125,3876.5,-0.23291551297491275
3857.070068359375,3881.3701171875,0.6300131549972374
3873.7099609375,3925.429931640625,1.3351534117078796
3915.800048828125,3829.340087890625,-2.2079769104496214
3839.659912109375,3811.14990234375,-0.7425139313956218
3842.510009765625,3901.820068359375,1.5435238540176928
3903.639892578125,3870.2900390625,-0.854327100689592
3863.989990234375,3819.719970703125,-1.1457074071914133
3818.530029296875,3768.469970703125,-1.3109772139979166
3793.580078125,3841.93994140625,1.274781664953074
3844.389892578125,3821.35009765625,-0.5993095280568448
3851.929931640625,3875.43994140625,0.6103436506595942
3891.989990234375,3898.81005859375,0.17523345066373866
3915.5400390625,3939.340087890625,0.6078356648301178
3924.52001953125,3943.340087890625,0.4795508308203991
3942.9599609375,3968.93994140625,0.658895366073483
3973.590087890625,3962.7099609375,-0.2738110049720982
3949.570068359375,3974.1201171875,0.6215878792681585
3953.5,3915.4599609375,-0.9621863933856077
3913.139892578125,3913.10009765625,-0.0010169562798017322
3916.47998046875,3940.590087890625,0.6156065533874974
3937.60009765625,3910.52001953125,-0.6877305326439493
3919.929931640625,3889.139892578125,-0.7854742201887601
3879.340087890625,3909.52001953125,0.7779656064399142
3917.1201171875,3974.5400390625,1.4658708478980118
3969.31005859375,3971.090087890625,0.04484480351997571
3963.340087890625,3958.550048828125,-0.12085864337343208
3967.25,3972.889892578125,0.14216125976747115
3992.780029296875,4019.8701171875,0.6784768429979234
4034.43994140625,4077.909912109375,1.077472247312053
4075.570068359375,4073.93994140625,-0.039997519998011204
4074.2900390625,4079.949951171875,0.13891775143915266
4089.949951171875,4097.169921875,0.17652956122498012
4096.10986328125,4128.7998046875,0.7980728666311512
4124.7099609375,4127.990234375,0.07952737207137907
4130.10009765625,4141.58984375,0.27819534205164187
4141.580078125,4124.66015625,-0.408537841978902
4139.759765625,4170.419921875,0.7406264610954082
4174.14013671875,4185.47021484375,0.2714350202412337
4179.7998046875,4163.259765625,-0.395713666572043
4159.18017578125,4134.93994140625,-0.5828127984488379
4128.419921875,4173.419921875,1.0900053979868016
4170.4599609375,4134.97998046875,-0.8507450209586539
4138.77978515625,4180.169921875,1.0000565110324517
4185.02978515625,4187.6201171875,0.06189518747124732
4188.25,4186.72021484375,-0.036525640929982686
4185.14013671875,4183.18017578125,-0.04683142913911256
4206.14013671875,4211.47021484375,0.12672136333427172
4198.10009765625,4181.169921875,-0.40328185101403174
4191.97998046875,4192.66015625,0.01622564478883657
4179.0400390625,4164.66015625,-0.34409535869691965
4177.06005859375,4167.58984375,-0.2267196236325662
4169.14013671875,4201.6201171875,0.7790570574179071
4210.33984375,4232.60009765625,0.5287044450650232
4228.2900390625,4188.43017578125,-0.9426946333626575
4150.33984375,4152.10009765625,0.042412283632646805
4130.5498046875,4063.0400390625,-1.634401443323294
4074.989990234375,4112.5,0.920493298278448
4129.580078125,4173.85009765625,1.0720223047799673
4169.919921875,4163.2900390625,-0.1589930487086879
4165.93994140625,4127.830078125,-0.9147962720841741
4098.4501953125,4115.68017578125,0.4204023386317189
4121.97021484375,4159.1201171875,0.9012656668398131
4168.60986328125,4155.85986328125,-0.3058573581640968
4170.16015625,4197.0498046875,0.6448109288368533
4205.93994140625,4188.1298828125,-0.4234501405599061
4191.58984375,4195.990234375,0.10498142206259373
4201.93994140625,4200.8798828125,-0.025227837820909777
4210.77001953125,4204.10986328125,-0.15816955614074169
4216.52001953125,4202.0400390625,-0.3434106894234487
4206.81982421875,4208.1201171875,0.030909167092543065
4191.43017578125,4192.85009765625,0.03387678705002732
4206.0498046875,4229.89013671875,0.5668105024500841
4229.33984375,4226.52001953125,-0.06667291641075042
4233.81005859375,4227.259765625,-0.154713907286754
4232.990234375,4219.5498046875,-0.3175161987937937
4228.56005859375,4239.18017578125,0.2511520952839872
4242.89990234375,4247.43994140625,0.10700320929070498
4248.31005859375,4255.14990234375,0.16100151956102948
4255.27978515625,4246.58984375,-0.2042155121400769
4248.8701171875,4223.7001953125,-0.5923909458465865
4220.3701171875,4221.85986328125,0.03529894422489142
4204.77978515625,4166.4501953125,-0.911571873016072
4173.39990234375,4224.7900390625,1.2313734106786576
4224.60986328125,4246.43994140625,0.5167359550698156
4249.27001953125,4241.83984375,-0.17485769901884574
4256.97021484375,4266.490234375,0.22363368900384537
4274.4501953125,4280.7001953125,0.14621763535469315
4284.89990234375,4290.60986328125,0.13325774388280978
4293.2099609375,4291.7998046875,-0.032846198132179566
4290.64990234375,4297.5,0.15965175001829354
4300.72998046875,4319.93994140625,0.44666745005475206
4326.60009765625,4352.33984375,0.5949185391017164
4356.4599609375,4343.5400390625,-0.2965692785162121
4351.009765625,4358.1298828125,0.16364286846129916
4321.06982421875,4320.81982421875,-0.005785604263990342
4329.3798828125,4369.5498046875,0.9278447020663007
4372.41015625,4384.6298828125,0.2794734740297158
