ticker,name,currency,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,start_close,end_close,percentage_change,volatility,50_day_SMA,cumulative_return
yext,Yext Inc,USD,Technology,BB,Medium,BB,Medium,BB,Medium,325,314,310,949,11-06-2022,BBB,High,17.170000076293945,6.53000020980835,-61.96854874319945,0.03509249687440336,5.695999956130981,-0.6196854874319945
yumc,Yum China Holdings Inc,USD,"Hotels, Restaurants, & Leisure",B,Medium,B,Medium,B,Medium,205,217,220,642,11-06-2022,B,Medium,57.779998779296875,54.650001525878906,-5.417094703261705,0.0255848560221272,51.81440002441406,-0.054170947032617045
yum,Yum! Brands Inc,USD,"Hotels, Restaurants, & Leisure",A,High,BB,Medium,BB,Medium,500,320,310,1130,04-20-2022,BBB,High,103.05999755859375,128.0800018310547,24.277124844909935,0.01341243871666987,124.23679962158204,0.24277124844909936
zim,ZIM Integrated Shipping Services Ltd,USD,Marine,BB,Medium,BB,Medium,BB,Medium,329,351,320,1000,04-20-2022,BBB,High,13.619999885559082,17.190000534057617,26.211458726102567,0.04345054009793223,21.59220001220703,0.26211458726102554
zbra,Zebra Technologies Corp,USD,Electrical Equipment,BB,Medium,BB,Medium,BB,Medium,320,317,300,937,04-20-2022,BBB,High,397.3299865722656,256.4100036621094,-35.46673739021356,0.024498466987222828,256.4821994018555,-0.35466737390213565
zbh,Zimmer Biomet Holdings Inc,USD,Health Care,A,High,BB,Medium,BB,Medium,520,330,310,1160,04-20-2022,BBB,High,149.41748046875,127.5,-14.668618691729273,0.01744512782578051,117.88479965209962,-0.14668618691729274
zion,Zions Bancorporation NA,USD,Banking,B,Medium,B,Medium,B,Medium,200,200,200,600,04-20-2022,B,Medium,44.70000076293945,49.15999984741211,9.977626416889056,0.022534703819411445,49.74720001220703,0.09977626416889063
zts,Zoetis Inc,USD,Pharmaceuticals,A,High,BB,Medium,BB,Medium,520,348,310,1178,04-20-2022,BBB,High,155.5800018310547,146.5500030517578,-5.804087076115739,0.016946928879524877,147.63300079345703,-0.05804087076115738
zuo,Zuora Inc,USD,Technology,B,Medium,B,Medium,B,Medium,240,234,200,674,09-24-2022,B,Medium,14.239999771118164,6.360000133514404,-55.33707699620981,0.03417678731605223,7.057200040817261,-0.5533707699620982
zws,Zurn Elkay Water Solutions Corp,USD,Building,A,High,BB,Medium,BB,Medium,500,300,300,1100,11-06-2022,BBB,High,38.88999938964844,21.149999618530273,-45.61583967481398,0.03277601282873025,23.315799980163575,-0.45615839674813974
zyme,Zymeworks Inc,USD,Biotechnology,B,Medium,BB,Medium,BB,Medium,240,326,305,871,11-06-2022,BB,Medium,35.63999938964844,7.860000133514404,-77.94612719382559,0.04951820336186077,7.355999984741211,-0.7794612719382559
ebay,eBay Inc,USD,Retail,A,High,BB,Medium,BB,Medium,500,302,305,1107,04-17-2022,BBB,High,58.470001220703125,41.470001220703125,-29.074738575481028,0.02253224336807044,42.34320007324219,-0.2907473857548103
